food,ruoka,legal
KyoGreen powder,KyoGreen jauhe,Illegal
L-Theanine,L-Teaniini,Legal
Lactaid Milk,Lactaid Maito,Illegal
Lactose Hydrolyzed Milk,Laktoosi Hydrolysoitu maito,Illegal
Lamb,lammas,Legal
Lecithin,lesitiini,Legal
Leek,Purjo,Legal
Lemons,sitruunat,Legal
Lentils,linssit,Legal
Lettuce,Lehtisalaatti,Legal
leucine,leusiini,Legal
Licorice,Lakritsi,Illegal
Lignin,ligniini,Illegal
Lima beans,"Limanpapu, voipapu",Legal
Limburger cheese,Limburger juusto,Legal
Limes,limetti,Legal
Liqueurs,liköörit,Illegal
Liquid Clorychlorophyll,nestemäinen Clorychlorophyll,Illegal
Macadamia nuts,Australianpähkinät,Legal
Macadamia oil,macadamia öljy,Legal
Magnesium citrate,magnesiumsitraatti,Legal
Magnesium Stearate,magnesiumstearaatti,Legal
Maltitol,maltitoli,Illegal
Maltodextrin,maltodekstriini,Illegal
Manchego Cheese,Manchegojuusto,Legal
Mangoes,mangot,Legal
Mannitol,mannitoli,Illegal
Maple syrup,vaahterasiirappi,Illegal
Margarine,Margariini,Illegal
Marshmallow,vaahtokaramelli,Illegal
Mastic gum,Mastic purukumi,Illegal
Mead,Sima,Illegal
Meats,Lihat,Legal
Meats (canned),Liha (säilyke),Illegal
Meats (processed),Liha (käsitelty),Illegal
Melatonin,Melatoniini,Illegal
Melon,Meloni,Legal
Milk,Maito,Illegal
Millet,Hirssi,Illegal
Miracle Noodles,Miracle nuudelit,Illegal
Miso,miso,Illegal
Molasses,Melassi,Illegal
Molo-cure,Molo-cure,Illegal
Monterey Jack cheese,Monterey Jack juusto,Legal
Mozzarella cheese,Mozzarella juusto,Illegal
MSG,MSG,Illegal
Mucilaginous Herbs,mucilaginous Yrtit,Illegal
Mucilaginous Polysaccharides,mucilaginous Polysakkaridi,Illegal
Muenster cheese,Muenster juusto,Legal
Mungbeans,Mungopavut,Illegal
Mushrooms,sienet,Legal
Mustard (plain),Sinappi (tavallinen),Legal
Natural cheeses,luonnollinen juusto,Legal
Natural Flavors,luontaiset aromit,Illegal
Navy beans,Valkoinen papu,Legal
Nectarines,nektariini,Legal
Nettles,nokkonen,Illegal
Neufchatel cheese,neufchâtel juusto,Illegal
Noni Juice,Nonimehu,Illegal
Nutmeg,Muskottipähkinä,Legal
Oats,Kaura,Illegal
Okra,okra,Illegal
Olive oil,Oliiviöljy,Legal
Olives,oliivit,Legal
Onions,sipulit,Legal
Orange juice,appelsiinimehu,Legal
Oranges,appelsiinit,Legal
Oregano,Oregano,Legal
Papayas,papaija,Legal
Pappadum,Papadum,Illegal
Paprika,Paprika,Legal
Parmesan cheese,parmesan juusto,Legal
Parsley,Persilja,Legal
Parsnips,palsternakka,Illegal
Passion Fruit,Passion hedelmä,Legal
Pasta,Pasta,Illegal
Pau 'Arco,Pau 'Arco,Illegal
Pea flour,hernejauho,Illegal
Peaches,persikat,Legal
Peanut butter,Maapähkinävoi,Legal
Peanut Oil,Maapähkinäöljy,Legal
Peanuts,maapähkinät,Legal
Pears,päärynä,Legal
Peas,herneet,Legal
Pecans,pekaanipähkinät,Legal
Pectin,pektiini,Illegal
Peppermint tea,piparminttu tee,Legal
Peppers,paprikat,Legal
Peptizyde,Peptizyde,Legal
Persimmons,persimmons,Legal
Phosphatidylcholine,fosfatidyylikoliini,Legal
Pickles (dill),Suolakurkku (tilli),Legal
Pine nuts,pinjansiemeniä,Legal
Pineapple,Ananas,Legal
Pineapple juice,Ananas mehu,Illegal
Pinto beans,Pinto pavut,Illegal
Pistachio nuts,pistaasipähkinöitä,Legal
Plantains,jauhobanaanit,Illegal
Plums,luumut,Legal
Polysorbate 80,polysorbaatti 80,Illegal
Pomegranate concentrate,granaattiomena tiiviste,Illegal
Pork,sianliha,Legal
Pork Rinds,Kamara,Legal
Port du Salut cheese,Port du Salut juusto,Legal
Port wine,portviini,Illegal
Postum,Postum kahvinkorvike,Illegal
Potassium Sorbate,kaliumsorbaattia,Legal
Potatoes,perunat,Illegal
Poultry,Siipikarja,Legal
Primal Defense,Primal Defence,Illegal
Primost cheese,Primost juusto,Illegal
Processed cheeses,sulatejuustot,Illegal
Protein powder,Proteiinijauhe,Illegal
Provolone cheese,Provolone-juusto,Legal
Prunes,kuivatut luumut,Legal
Psyllium husks,psylliumin kuoret,Illegal
Pumpkin,Kurpitsa,Legal
Pumpkin (canned),Kurpitsa (säilyke),Illegal
Quinoa,Kvinoa,Illegal
Quorn,Quorn,Illegal
Raisins,Rusinat,Legal
Rhubarb,Raparperi,Legal
Rice,Riisi,Illegal
Rice Bran,Riisilese,Illegal
Rice Flour,Riisijauho,Illegal
Ricotta cheese,Ricotta juusto,Illegal
Romano cheese,Romano juusto,Legal
Roquefort cheese,Roquefort,Legal
Rosemary,Rosmariini,Legal
Rutabaga,Lanttu,Legal
Rye,ruis,Illegal
Tabasco sauce,Tabasco,Illegal
Tagatose,tagatoosi,Illegal
Tamari,tamari-soijakastike,Illegal
Tamarind,Tamarindi hedelmä,Illegal
Tangerines,mandariinit,Legal
Tapioca,Tapioka,Illegal
Tapioca Flour,tapiokajauho,Illegal
Taro,Taro,Illegal
Tarragon,Rakuuna,Legal
Tea,tee,Legal
Thyme,Timjami,Legal
Tofu,tofu,Illegal
Tofutti cheese,Tofutti juusto,Illegal
tomato,tomaatti,Legal
Tomato juice (canned),Tomaattimehu (säilyke),Legal
Tomato paste (canned),Tomaatit (purkitettu),Illegal
Tomato purée (canned),Tomaattisose (säilyke),Illegal
Tomato sauce (canned),Tomaattikastike (säilyke),Illegal
Triticale,ruisvehnä,Illegal
Turbinado,täysruokosokeri,Illegal
Turnips,nauris,Illegal
V8 Juice,V8 mehu,Illegal
Vanillin,vanilliini,Legal
Vegetable stearate,"rasvahappojen suolat, magnesiumstearaatti",Legal
Vegetables (canned),Kasvikset (purkitettu),Illegal
Vinegar,Etikka,Legal
Vodka,Vodka,Legal
